Bengal=NFL team in Cincinnati Ohio
Bear=NFL team in Chicago, IL
Dolphin=NFL team in Miami, FL
Bill=NFL team in Buffalo, NY
Lion=NFL team in Detroit, MI
Cardinal=NFL team in Arizona
Seahawk=NFL team in Seattle, WA
Raven=NFL team in Balitmore, MD
Colt=NFL team in Indianapolis, IN
Jaguar=NFL team in Jacksonville, FL
Falcon=NFL team in Atlanta, GA
Panther=NFL team in "Carolina"
Eagle=NFL team in Philadelphia, PA
Bronco=NFL team in Denver, CO
Ram=NFL team in St Louis, MO
Ray=MLB team in Tampa Bay, FL
Blue_Jay=MLB team in Toronto, CA
Tiger=MLB team in Detroit, MI
Bear_Cub=MLB team in Chicago, IL
Oriole=MLB team in Baltimore, MD
Marlin=MLB team in Miami, FL
Diamondback=MLB team in Arizona
Bull=NBA team in Chicago, IL
Grizzly=NBA team in Memphis, TN
Pelicans=NBA team in New Orleans, LA
Raptor=NBA team in Toronto, CA
Timberwolf=NBA team in Minnesota
Buck=NBA team in Milwaukee, WI
Hawk=NBA team in Atlanta, GA
Bobcat=NBA team in Charlotte, NC
Duck=NHL team in Anaheim, CA
Coyote=NHL team in Phoenix, AZ
Shark=NHL team in San Jose, CA
Blackhawk=NHL team in Chicago, IL
Penguin=NHL team in Pittsburg, PA
